img,y_offset,x_offset,width_mult,height_mult,adjusts
./img/fre99m03_frame_1.jpg,-9,-6,0.8,1.05,"[21, 0, 20, 0]"
./img/ekl99m03_frame_1.jpg,-9,-6,0.8,1.05,"[21, 0, 20, 0]"
./img/fre99m07_frame_1.jpg,0,0,0.85,1.0,"[10, 0, 21, 0]"
./img/ekl99m07_frame_1.jpg,0,0,0.85,1.0,"[10, 0, 21, 0]"
./img/fre99m30_frame_1.jpg,0,0,0.98,1.0,"[0, 0, 0, 0]"
./img/ekl99m30_frame_1.jpg,0,0,0.98,1.0,"[0, 0, 0, 0]"
./img/fre99m28_frame_1.jpg,-5,-4,1.0,1.1,"[0, 0, 4, 0]"
./img/ekl99m28_frame_1.jpg,-5,-4,1.0,1.1,"[0, 0, 4, 0]"
./img/fre99w04_frame_1.jpg,-3,-3,0.93,1.04,"[0, 0, 7, 0]"
./img/ekl99w04_frame_1.jpg,-3,-3,0.93,1.04,"[0, 0, 7, 0]"
./img/fre99w12_frame_1.jpg,-5,0,1.0,1.05,"[0, 0, 1, 0]"
./img/ekl99w12_frame_1.jpg,-5,0,1.0,1.05,"[0, 0, 1, 0]"
./img/fre99w22_frame_1.jpg,-8,-1,1.0,1.07,"[6, 0, 1, 0]"
./img/ekl99w22_frame_1.jpg,-8,-1,1.0,1.07,"[6, 0, 1, 0]"
./img/fre99w31_frame_1.jpg,6,2,0.98,0.97,"[0, 0, 0, 0]"
./img/fre99w57_frame_1.jpg,0,1,0.95,1.04,"[-1, 0, 1, 0]"
./img/ekl99w57_frame_1.jpg,0,1,0.95,1.04,"[-1, 0, 1, 0]"
./img/ekl99w31_frame_1.jpg,6,2,0.98,0.97,"[0, 0, 0, 0]"
./img/fre99w61_frame_1.jpg,-6,0,1.0,1.05,"[1, 0, 2, 0]"
./img/ekl99w61_frame_1.jpg,-6,0,1.0,1.05,"[1, 0, 2, 0]"
